,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
343,별개/Noun,아깝다/Adjective,움/Noun,아/Exclamation,코코/Noun,렛/Noun,보틀/Noun,음료/Noun,티라미수/Noun,당근/Noun,케이크/Noun,먹다/Verb,케이크/Noun,반/Noun,이상/Noun,남다/Verb,젤/Noun,기본/Noun,알다/Verb,정말/Noun,맛/Noun,없다/Adjective,젤/Noun,이/Noun,상하/Noun,맛없다/Adjective,게코/Noun,코레스/Noun,도대체/Noun,무슨/Noun,생각/Noun,이/Determiner,걸/Noun,만들다/Verb,의문/Noun,일/Noun,정도/Noun,근데/Adverb,가격/Noun,죄다/Adverb,천원/Noun,정도/Noun,사악하다/Adjective,웬만하다/Adjective,별로/Noun,여도/Eomi,평안/Noun,남기다/Verb,여기다/Verb,진짜/Noun,맛/Noun,다/Adverb,필요/Noun,없다/Adjective,사진/Noun,남다/Verb,분/Noun,갈다/Verb,돼다/Verb,,,,,,,,,,,,,,,
344,커피/Noun,정말/Noun,맛없다/Adjective,요/Noun,케이크/Noun,뭐/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,인스타/Noun,사진/Noun,보고/Noun,오다/Verb,커피/Noun,진짜/Noun,놈/Noun,맛/Noun,얼/Noun,그레이/Noun,케이크/Noun,얼그레이/Noun,맛/Noun,안/Noun,남천/Noun,원주고/Noun,다른/Noun,거사/Noun,먹다/Verb,것/Noun,같다/Adjective,비싸다/Adjective,가격/Noun,사진/Noun,찍다/Verb,오다/Verb,곳/Noun,돈/Noun,아깝다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,가격/Noun,가격/Noun,조각/Noun,천/Noun,원/Noun,케이크/Noun,음료/Noun,모두/Noun,정말/Noun,맛/Noun,없다/Adjective,직원/Noun,불친절/Noun,또한/Noun,이렇게/Adverb,자리/Noun,불편하다/Adjective,쉬다/Verb,않다/Verb,듯/Noun,하다/Verb,조잡하다/Adjective,인테리어/Noun,지저분하다/Adjective,테이블/Noun,마이너스/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,사람/Noun,투/Noun,머치/Noun,지극히/Adverb,평범하다/Adjective,케이크/Noun,질/Noun,떨어지다/Verb,커피/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,길/Noun,가다가/Noun,발견/Noun,하다/Verb,오픈/Noun,전이/Noun,기다/Verb,한데/Eomi,뭐/Noun,좀/Noun,물어보다/Verb,직원/Noun,나오다/Verb,좀/Noun,달라/Noun,하다/Verb,매장/Noun,안/Noun,손/Noun,엑스/Noun,표/Noun,시/Noun,계속/Noun,손님/Noun,응대/Noun,완전/Noun,꽝/Noun,기분/Noun,나쁘다/Adjective,오픈/Noun,전이/Noun,바쁘다/Adjective,건/Noun,알다/Verb,보통/Noun,오픈/Noun,전이/Noun,기다/Verb,해도/Noun,나오다/Verb,얘기/Noun,하다/Verb,하/Exclamation,눈/Noun,거/Noun,아니다/Adjective,케이크/Noun,맛있다/Adjective,보이다/Verb,데/Noun,신안/Noun,가다/Verb,,,,,,,,,,,,,,,,,,,,,,
350,인생/Noun,케이크/Noun,맛/Noun,집/Noun,아메리카노/Noun,호불호/Noun,있다/Adjective,디저트/Noun,라테/Noun,진짜/Noun,맛있다/Adjective,친구/Noun,생일/Noun,올케/Noun,이/Noun,사서/Noun,선물/Noun,하다/Verb,맛있다/Adjective,케이크/Noun,선물/Noun,처음/Noun,이다/Verb,너무/Adverb,좋아하다/Adjective,가로/Noun,수/Modifier,길/Noun,가면/Noun,꼭/Noun,들다/Verb,보다/Verb,하다/Verb,옥/Noun,스타일/Noun,하다/Verb,특별하다/Adjective,곳/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,요즘/Noun,이렇다/Adjective,맛/Noun,분위기/Noun,정도/Noun,신사/Noun,카페/Noun,어딜/Adverb,가든/Noun,웬만하다/Adjective,덴다/Noun,있다/Adjective,하지만/Conjunction,구/Modifier,성비/Noun,그다지/Noun,커피/Noun,빵/Noun,맛/Noun,비주/Noun,얼/Noun,더/Noun,신경/Noun,많이/Adverb,써다/Verb,구/Modifier,성비/Noun,크게/Noun,좋다/Adjective,않다/Verb,저작/Noun,이/Noun,잔/Noun,하다/Verb,잔/Noun,천/Noun,원/Modifier,이면/Noun,음/Noun,다음/Noun,굳이/Noun,여기다/Verb,안/Noun,가다/Verb,주변/Noun,더/Noun,좋다/Adjective,곳/Noun,많다/Adjective,가격/Noun,경쟁력/Noun,떨어지다/Verb,그리고/Conjunction,처음/Noun,애견/Noun,출입/Noun,가능하다/Adjective,말/Noun,하다/Verb,사람/Noun,있다/Adjective,땐/Noun,테라/Noun,,,,,,,,,,,
352,아래/Noun,직원/Noun,지인/Noun,명/Noun,평점/Noun,조작/Noun,위생/Noun,관념/Noun,동네/Noun,분식집/Noun,못/Noun,역대/Noun,최악/Noun,곳/Noun,이다/Adjective,알/Noun,하다/Verb,입도/Noun,못/Noun,들다/Verb,다/Adverb,제발/Noun,인스타/Noun,사진/Noun,속/Modifier,아가/Noun,말다/Verb,다운/Noun,님/Noun,조/Modifier,작일/Noun,듯/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,압구정/Noun,테라스/Noun,있다/Adjective,카페/Noun,중/Noun,최고/Noun,이다/Verb,곳/Noun,요/Noun,음식/Noun,일반/Noun,다른/Noun,브런치/Noun,카페/Noun,맛있다/Adjective,분위기/Noun,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,투움바/Noun,리조또/Noun,졸/Noun,맛탕/Noun,또/Noun,가다/Verb,싶다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,파넬/Noun,카페/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,파넬/Noun,카페/Noun,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,음식/Noun,전체/Noun,맛있다/Adjective,그러나/Conjunction,자리다/Adjective,불편/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,전/Noun,만족하다/Adjective,맛있다/Adjective,친절하다/Adjective,재/Noun,방문/Noun,사/Noun,있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,여자/Noun,직원/Noun,진짜/Noun,불친절하다/Adjective,들어가다/Verb,아무렇다/Adjective,설명/Noun,나/Noun,서비스/Noun,없다/Adjective,대충/Noun,정돈/Noun,되어다/Verb,있다/Adjective,자리/Noun,앉다/Verb,있다/Adjective,직원/Noun,오다/Verb,공격/Noun,짜증/Noun,나/Noun,말투/Noun,거기/Noun,예/Modifier,약/Modifier,석/Noun,거들다/Verb,하다/Verb,빈/Noun,정상/Noun,하다/Verb,나오다/Verb,서비스/Noun,불친절하다/Adjective,거/Noun,싫다/Adjective,안/Noun,가다/Verb,게/Noun,맞다/Verb,거/Noun,같다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,점도/Noun,아깝다/Adjective,여기/Noun,절대/Noun,지다/Verb,말다/Verb,아무렇다/Adjective,안내/Noun,없다/Adjective,일단/Noun,보이다/Verb,테이블/Noun,앉다/Verb,있다/Adjective,여자/Noun,직원/Noun,거기/Noun,예/Modifier,약/Modifier,석/Noun,요/Noun,하다/Verb,엄청/Adverb,기분/Noun,나쁘다/Adjective,말투/Noun,무안/Noun,주다/Verb,일어나다/Verb,때/Noun,밉다/Adjective,간/Noun,찌푸리다/Verb,삐/Noun,딱하다/Adjective,서서/Noun,째다/Verb,보시/Noun,무섭다/Adjective,죽다/Verb,줄/Noun,아랏어욤/Noun,야외/Noun,테이블/Noun,식사/Noun,하다/Verb,되다/Verb,물어보다/Verb,네/Noun,한마디/Noun,하곤/Eomi,안내/Noun,없이/Adverb,계속/Noun,째다/Verb,보다/Verb,고객/Noun,,,,,,,,,,,,,,,,,
367,평이/Noun,안/Noun,좋다/Adjective,걱정/Noun,하다/Verb,의외로/Adverb,무난/Noun,하다/Verb,마무리/Noun,맛/Noun,아니다/Adjective,그냥/Noun,딱/Adverb,브런치/Noun,맛/Noun,브런치/Noun,생각나다/Verb,때/Noun,종종/Noun,갈다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,정말/Noun,불친절하다/Adjective,맛/Noun,그냥/Noun,그런데/Conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,음식/Noun,괜찮다/Adjective,직원/Noun,너무/Adverb,정신/Noun,없다/Adjective,공간/Noun,자체/Noun,소리/Noun,윙윙/Noun,울리다/Verb,너무/Adverb,시끄럽다/Adjective,움/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,따다/Verb,한/Determiner,아인/Noun,스패너/Noun,시원하다/Adjective,유리잔/Noun,나오다/Verb,다시/Noun,해달라다/Verb,하니/Noun,잡/Noun,수도/Noun,없다/Adjective,만큼/Noun,뜨겁다/Adjective,유리잔/Noun,나오다/Verb,손잡이/Noun,없다/Adjective,글라스/Noun,잔/Noun,플랫/Noun,화이트/Noun,하다/Verb,샷/Noun,우유/Noun,엄청/Adverb,많이/Adverb,들어가다/Verb,고속/Noun,쓰리다/Adjective,멋/Noun,신경/Noun,쓸다/Verb,커피/Noun,미치다/Adjective,정성/Noun,들어가다/Verb,못/Noun,느끼다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,좀/Noun,시끄럽다/Adjective,음악/Noun,수다/Noun,의자/Noun,딱/Adverb,딱/Adverb,그/Noun,베네딕트/Noun,그다지/Noun,그냥/Noun,그렇다/Adjective,스타/Noun,용/Noun,카페/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,분위기/Noun,맛/Noun,그럭저럭/Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,프렌치토스트/Noun,와플/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,의자/Noun,편하다/Adjective,않다/Verb,소음/Noun,그대로/Noun,울리다/Verb,바닥/Noun,구조/Noun,시끄럽다/Adjective,심지어/Noun,루프/Noun,탑/Noun,비/Noun,새다/Verb,커피/Noun,값/Noun,합리/Noun,편/Noun,특별하다/Adjective,고급/Noun,지지도/Noun,않다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,인테리어/Noun,깔끔하다/Adjective,야외/Noun,루프/Noun,탑/Noun,스타일/Noun,공간/Noun,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,바닐라/Noun,타르트/Noun,최고/Noun,더/Noun,많이/Adverb,만들다/Verb,줄다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,미치다/Adjective,바닐라/Noun,타르트/Noun,그러나/Conjunction,이/Determiner,젠/Noun,웨이팅/Noun,곁들이다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,추다/Verb,겨울/Noun,밖/Noun,하다/Verb,시간/Noun,넘다/Verb,기다리다/Verb,골/Noun,하다/Verb,메뉴/Noun,많다/Adjective,손님/Noun,고민/Noun,많다/Adjective,오랫동안/Adverb,기다리다/Verb,아니다/Adjective,것/Noun,같다/Adjective,회전/Noun,율/Noun,낮다/Adjective,이유/Noun,생각/Noun,해보다/Verb,서빙/Noun,하다/Verb,분/Noun,세/Noun,분/Noun,계시다/Adjective,데/Noun,너무나도/Adverb,느리다/Adjective,접시/Noun,위/Noun,케이크/Noun,하나/Noun,올리다/Verb,데/Noun,각도/Noun,이리저리/Adverb,체크/Noun,하다/Verb,올리다/Verb,내리다/Verb,그렇다/Adjective,저희/Noun,먹다/Verb,가장/Noun,편하다/Adjective,위치/Noun,케이크/Noun,옮기다/Verb,먹다/Verb,맛/Noun,,,,,,,,,,,,,,,,,,
382,대박/Noun,맛/Noun,집/Noun,마카롱/Noun,굳다/Adjective,굳다/Adjective,이다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,껠끄/Noun,쇼/Noun,조의/Noun,마카롱/Noun,먹다/Verb,난/Noun,이후/Noun,마카롱/Noun,좋아하다/Adjective,되어다/Verb,섬세하다/Adjective,맛/Noun,질감/Noun,이/Determiner,곳/Noun,마카롱/Noun,장점/Noun,생각/Noun,하다/Verb,과일/Noun,계열/Noun,등/Noun,가볍다/Adjective,산뜻하다/Adjective,종류/Noun,마카롱/Noun,그/Noun,지점/Noun,자다/Verb,느껴지다/Verb,것/Noun,같다/Adjective,기대하다/Adjective,로/Noun,즈/Modifier,꿀/Noun,제/Noun,먹다/Verb,땐/Noun,장미/Noun,향/Noun,너무/Adverb,강하다/Adjective,아쉽다/Adjective,많이/Adverb,유명하다/Adjective,바닐라/Noun,타르트/Noun,예상외/Noun,별로/Noun,이다/Verb,먹다/Verb,보다/Verb,다른/Noun,종류/Noun,케이크/Noun,,,,,,,,,,,,,,,,,,
384,바닐라/Noun,류/Noun,디저트/Noun,최고/Noun,맛/Noun,집/Noun,다른/Noun,디저트/Noun,류/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,비싸다/Adjective,돈/Noun,아깝다/Adjective,않다/Verb,디저트/Noun,집/Noun,제/Noun,입/Noun,구/Modifier,움/Noun,자류/Noun,조금/Noun,평범하다/Adjective,거/Noun,같다/Adjective,마카롱/Noun,케이크/Noun,류/Noun,좋다/Adjective,계절/Noun,바뀌다/Verb,메뉴/Noun,있다/Adjective,새롭다/Adjective,좋아하다/Adjective,메뉴/Noun,종종/Noun,사라지다/Verb,아쉽다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,바닐라/Noun,타르트/Noun,드/Noun,세요/Eomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,피스타치오/Noun,캐러멜/Noun,타르트/Noun,어디서/Adverb,먹다/Verb,보다/Verb,적/Noun,없다/Adjective,조화롭다/Adjective,맛/Noun,서다/Verb,비싸다/Adjective,가격/Noun,불구/Noun,만족스럽다/Adjective,다만/Noun,강남/Noun,너무/Adverb,너/Modifier,어어/Noun,무/Noun,멀다/Adjective,흑/Adverb,흑/Adverb,마들렌/Noun,맛있다/Adjective,마들렌/Noun,대체/Noun,맛/Noun,집/Noun,꽤/Noun,있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,공간/Noun,좁다/Adjective,아쉽다/Adjective,디저트/Noun,매우/Noun,만족스럽다/Adjective,움/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,코로나/Noun,때문/Noun,안/Noun,못/Noun,먹다/Verb,테이크아웃/Noun,돼다/Verb,마카롱/Noun,케이크/Noun,하나/Noun,하나/Noun,다/Adverb,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,저/Noun,별/Noun,다섯/Noun,개다/Verb,아니다/Adjective,네/Noun,개/Noun,평일/Noun,낮/Noun,열한/Noun,시가/Noun,십분/Noun,가다/Verb,앞/Noun,세/Noun,명/Noun,있다/Adjective,열두시/Noun,이후/Noun,제/Noun,뒤/Noun,줄이다/Verb,늘어서다/Verb,시작/Noun,하다/Verb,바닐라/Noun,타르트/Noun,얼/Noun,그레이/Noun,커피/Noun,타르트/Noun,로/Noun,즈/Modifier,꿀/Noun,마카롱/Noun,바닐라/Noun,마들렌/Noun,주문/Noun,하다/Verb,바닐라/Noun,타르트/Noun,맛있다/Adjective,하다/Verb,조금/Noun,달다/Verb,혼자/Noun,하나/Noun,다/Adverb,먹기/Noun,좀/Noun,질리다/Verb,감/Noun,있다/Adjective,마카롱/Noun,프랑스/Noun,파리/Noun,놀다/Verb,가다/Verb,때/Noun,사/Noun,먹다/Verb,장미/Noun,,,,,,,,,,,,
392,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,토요일/Noun,시간/Noun,분/Noun,웨이/Noun,팅/Noun,등/Noun,도착/Noun,그냥/Noun,넷플릭스/Noun,보다/Verb,기다림/Noun,바닐라/Noun,타르트/Noun,개/Noun,안/Noun,파다/Verb,때문/Noun,무조건/Noun,웨이/Noun,팅/Noun,필수/Noun,정말/Noun,웨이팅/Noun,감수/Noun,하다/Verb,수/Noun,있다/Adjective,맛/Noun,입/Noun,녹다/Verb,없어지다/Verb,심/Noun,봉사/Noun,눈/Noun,뜨다/Verb,때/Noun,기분/Noun,이렇다/Adjective,정말/Noun,개다/Verb,맛/Noun,마카롱/Noun,너무/Adverb,맛있다/Adjective,이번/Noun,전제/Noun,로랑/Noun,콜라보/Noun,하다/Verb,거/Noun,먹다/Verb,빨리/Adverb,가야/Noun,돼다/Verb,,,,,,,,,,,,,,,,,,,,
394,때/Noun,샷/Noun,저만/Modifier,갖다/Verb,눈/Noun,차로/Noun,호강/Noun,입/Noun,차호/Noun,강하다/Adjective,유일/Noun,무/Noun,디저트/Noun,맛집/Noun,내/Noun,최애/Noun,바닐라/Noun,타르트/Noun,부지런하다/Adjective,못/Noun,나/Noun,잡/Noun,수/Noun,없다/Adjective,너/Noun,마카롱/Noun,마레/Noun,마레/Noun,하다/Verb,마카롱/Noun,기억/Noun,하다/Verb,꼭/Noun,먹다/Verb,보다/Verb,시당/Eomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,마레/Noun,로/Noun,즈/Modifier,꿀/Noun,잔/Noun,뒤/Noun,야프랄/Noun,리/Noun,소금/Noun,마카롱/Noun,개인/Noun,로/Noun,즈/Modifier,꿀/Noun,다시/Noun,먹다/Verb,볼/Noun,만/Noun,맛/Noun,이다/Verb,마레/Noun,메이비/Noun,피/Noun,스타/Noun,치/Noun,오타/Noun,루트/Noun,오다/Verb,사진/Noun,보이/Noun,올라가다/Verb,아이/Noun,푸다/Verb,지다/Verb,디저트/Noun,푸다/Verb,짐/Noun,단어/Noun,이상하/Noun,정말/Noun,한/Determiner,입/Noun,오다/Verb,사/Noun,삭뭉클/Noun,오다/Verb,삭/Noun,하다/Verb,꼬소/Noun,토핑/Noun,오다/Verb,장창/Noun,부드럽다/Adjective,가볍다/Adjective,크림/Noun,안기다/Verb,피스타치오/Noun,날다/Verb,요/Noun,묶인/Noun,치밀하다/Adjective,맛/Noun,시/Modifier,즈/Modifier,음가/Noun,,,,,,,,,
396,로드/Noun,밉다/Adjective,엘/Noun,먹다/Verb,라뒤레/Noun,생각나다/Verb,차다/Verb,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,너/Noun,오/Noun,너무/Adverb,맛있다/Adjective,오픈/Noun,전/Noun,줄/Noun,서고/Noun,테이크아웃/Noun,되다/Verb,오픈/Noun,시각/Noun,늦다/Verb,케이크/Noun,몇/Noun,조각/Noun,살다/Verb,게/Noun,너무/Adverb,힘들다/Adjective,다시/Noun,사르다/Verb,갈다/Verb,수/Noun,있다/Adjective,가면/Noun,원하다/Adjective,것/Noun,구입/Noun,하다/Verb,수/Noun,있다/Adjective,모르다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,바닐라/Noun,타르트/Noun,유명하다/Adjective,대서/Noun,먹다/Verb,가다/Verb,헤이즐넛/Noun,말차/Noun,반하다/Adjective,가다/Verb,진짜/Noun,너무/Adverb,맛있다/Adjective,헤이즐넛/Noun,말/Noun,차/Noun,마카롱/Noun,마레/Noun,제일/Noun,취향/Noun,이다/Verb,로즈/Noun,향/Noun,너무/Adverb,강하다/Adjective,불호/Noun,이다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,사랑/Noun,하다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,마카롱/Noun,케이크/Noun,전부/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,밤/Noun,흑임자/Noun,타르트/Noun,잔/Noun,뒤/Noun,야프/Noun,랄리/Noun,소금/Noun,로/Noun,즈/Modifier,꿀/Noun,모두/Noun,맛있다/Adjective,코로나/Noun,때문/Noun,테이크아웃/Noun,되어다/Verb,아쉽다/Adjective,다음/Noun,방문/Noun,하다/Verb,듯/Noun,종류/Noun,별로/Noun,다/Adverb,먹다/Verb,보고/Noun,싶다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,집/Noun,근처/Noun,강아지/Noun,패딩/Noun,안/Noun,넣다/Verb,가다/Verb,들어가다/Verb,종업원/Noun,밖/Noun,웨이/Noun,팅/Noun,하라/Noun,하다/Verb,당황/Noun,하다/Verb,다시/Noun,물어보다/Verb,앞뒤/Noun,없이/Adverb,우선/Noun,나가다/Verb,기다리다/Verb,달라/Noun,하다/Verb,눈/Noun,펑펑/Noun,오다/Verb,영하/Noun,날씨/Noun,문밖/Noun,서다/Verb,있다/Adjective,고객/Noun,더/Noun,들어오다/Verb,웨이/Noun,팅/Noun,줄이다/Verb,길어지다/Verb,있다/Adjective,아무/Noun,응대/Noun,하다/Verb,주지/Noun,않다/Verb,그냥/Noun,오다/Verb,애견/Noun,동반/Noun,안/Noun,되다/Verb,설명/Noun,해주다/Verb,이해/Noun,가다/Verb,텐데/Eomi,다짜고짜/Noun,나가다/Verb,,,,,,,,,,,,,,,
404,마이/Noun,퍼/Noun,디저트/Noun,생기다/Verb,때/Noun,최애/Noun,디저트/Noun,집/Noun,사랑/Noun,하다/Verb,여/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,마카롱/Noun,타르트/Noun,구/Modifier,움/Noun,자/Noun,모두/Noun,입/Noun,넣다/Verb,자다/Verb,오다/Verb,생각/Noun,들다/Verb,위치/Noun,애매하다/Adjective,가격/Noun,비싸다/Adjective,모든/Noun,걸/Noun,감안/Noun,갈다/Verb,만큼/Noun,좋다/Adjective,디저트/Noun,좋아하다/Adjective,꼭/Noun,방문/Noun,하다/Verb,볼/Noun,만/Noun,곳/Noun,이다/Adjective,커피/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,진짜/Noun,자다/Verb,만들다/Verb,마카롱/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,세/Noun,젤/Noun,맛/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,디저트/Noun,맛있다/Adjective,다만/Noun,가격/Noun,조금/Noun,많이/Adverb,비싸다/Adjective,편/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,가격/Noun,조금/Noun,비싸다/Adjective,맛/Noun,정말/Noun,있다/Adjective,특히/Adverb,파스타/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
